,n,R²,AIC,p (enp²),β enp,β enp²,slope t (low end),slope t (high end),turning point (ENP),turning point in data,inverted-U p-value,U-shape p-value,within R² gain
P1 Pooled,920.0,0.007149960994912941,6422.078393537706,0.03814506469578144,4.343243891727072,-0.9550879449170084,1.8351009362906305,-2.11425108091978,2.273740295248138,True,0.03324536762189637,0.9827530859350778,
P2 + year,920.0,0.2514306498722918,6168.255873352453,0.24251375735897207,4.5470285271125075,-0.5172809462513803,2.872055019635805,-0.2904822160912847,4.395124699705073,True,0.385723677023862,0.9979609402058471,
"P3 + year, province, metro",920.0,0.5336501211609679,5750.886401916829,0.3405229958025078,-3.0154495606832126,0.3820931816733394,-1.9238908680528282,0.39655146201190894,3.9459609662194817,True,0.9728158679349496,0.34584912576568194,
P4 Within (municipality + year FE),896.0,0.7886334104778362,5358.018943801943,0.07832337551698937,-3.856929648435436,0.6073773211757112,-2.0905841420146407,1.3219502465059372,3.175068869026512,True,0.981717320743393,0.09309235951719547,0.009309746688152596
