,Province,Municipality,Party,Ballot Type,ValidVotesCast,MeanVoterTurnout
23,Eastern Cape,EC102 - Blue Crane Route [Somerset East],AFRICAN NATIONAL CONGRESS,PR,5979,53.78
24,Eastern Cape,EC102 - Blue Crane Route [Somerset East],AFRICAN NATIONAL CONGRESS,WARD,5944,53.78
25,Eastern Cape,EC102 - Blue Crane Route [Somerset East],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,2271,53.78
26,Eastern Cape,EC102 - Blue Crane Route [Somerset East],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,2361,53.78
27,Eastern Cape,EC102 - Blue Crane Route [Somerset East],UNITED DEMOCRATIC MOVEMENT,PR,250,53.78
28,Eastern Cape,EC102 - Blue Crane Route [Somerset East],UNITED DEMOCRATIC MOVEMENT,WARD,162,53.78
29,Eastern Cape,EC103 - Ikwezi [Jansenville],AFRICAN NATIONAL CONGRESS,PR,1979,65.88
30,Eastern Cape,EC103 - Ikwezi [Jansenville],JANSENVILLE KLIPPLAAT ALLIANSIE,PR,1046,65.88
31,Eastern Cape,EC104 - Makana [Grahamstown],AFRICAN CHRISTIAN DEMOCRATIC PARTY,PR,411,59.41
32,Eastern Cape,EC104 - Makana [Grahamstown],AFRICAN CHRISTIAN DEMOCRATIC PARTY,WARD,481,59.41
33,Eastern Cape,EC104 - Makana [Grahamstown],AFRICAN NATIONAL CONGRESS,PR,18173,59.41
34,Eastern Cape,EC104 - Makana [Grahamstown],AFRICAN NATIONAL CONGRESS,WARD,18118,59.41
35,Eastern Cape,EC104 - Makana [Grahamstown],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,3155,59.41
36,Eastern Cape,EC104 - Makana [Grahamstown],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,3026,59.41
37,Eastern Cape,EC104 - Makana [Grahamstown],UNITED DEMOCRATIC MOVEMENT,PR,418,59.41
38,Eastern Cape,EC104 - Makana [Grahamstown],UNITED DEMOCRATIC MOVEMENT,WARD,471,59.41
39,Eastern Cape,EC105 - Ndlambe [Port Alfred],AFRICAN CHRISTIAN DEMOCRATIC PARTY,PR,312,66.38
40,Eastern Cape,EC105 - Ndlambe [Port Alfred],AFRICAN CHRISTIAN DEMOCRATIC PARTY,WARD,469,66.38
41,Eastern Cape,EC105 - Ndlambe [Port Alfred],AFRICAN NATIONAL CONGRESS,PR,12556,66.38
42,Eastern Cape,EC105 - Ndlambe [Port Alfred],AFRICAN NATIONAL CONGRESS,WARD,12374,66.38
43,Eastern Cape,EC105 - Ndlambe [Port Alfred],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,3480,66.38
44,Eastern Cape,EC105 - Ndlambe [Port Alfred],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,3555,66.38
45,Eastern Cape,EC105 - Ndlambe [Port Alfred],UNITED DEMOCRATIC MOVEMENT,PR,269,66.38
46,Eastern Cape,EC105 - Ndlambe [Port Alfred],UNITED DEMOCRATIC MOVEMENT,WARD,188,66.38
47,Eastern Cape,EC106 - Sunday's River Valley [Kirkwood],AFRICAN NATIONAL CONGRESS,PR,10069,60.22
48,Eastern Cape,EC106 - Sunday's River Valley [Kirkwood],AFRICAN NATIONAL CONGRESS,WARD,8607,60.22
49,Eastern Cape,EC106 - Sunday's River Valley [Kirkwood],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,1945,60.22
50,Eastern Cape,EC106 - Sunday's River Valley [Kirkwood],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,1715,60.22
51,Eastern Cape,EC107 - Baviaans [Willowmore],AFRICAN NATIONAL CONGRESS,PR,2063,69.23
52,Eastern Cape,EC107 - Baviaans [Willowmore],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,2234,69.23
53,Eastern Cape,EC107 - Baviaans [Willowmore],UNITED DEMOCRATIC MOVEMENT,PR,111,69.23
54,Eastern Cape,EC108 - Kouga [Humansdorp],AFRICAN CHRISTIAN DEMOCRATIC PARTY,PR,401,58.67
55,Eastern Cape,EC108 - Kouga [Humansdorp],AFRICAN CHRISTIAN DEMOCRATIC PARTY,WARD,346,58.67
56,Eastern Cape,EC108 - Kouga [Humansdorp],AFRICAN NATIONAL CONGRESS,PR,9408,58.67
57,Eastern Cape,EC108 - Kouga [Humansdorp],AFRICAN NATIONAL CONGRESS,WARD,8702,58.67
58,Eastern Cape,EC108 - Kouga [Humansdorp],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,8785,58.67
59,Eastern Cape,EC108 - Kouga [Humansdorp],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,8519,58.67
60,Eastern Cape,EC108 - Kouga [Humansdorp],INDEPENDENT,WARD,1048,58.67
61,Eastern Cape,EC108 - Kouga [Humansdorp],KOUGA 2000,PR,459,58.67
62,Eastern Cape,EC108 - Kouga [Humansdorp],KOUGA 2000,WARD,465,58.67
63,Eastern Cape,EC109 - Kou-Kamma [Kareedouw],AFRICAN CHRISTIAN DEMOCRATIC PARTY,PR,195,56.3
64,Eastern Cape,EC109 - Kou-Kamma [Kareedouw],AFRICAN CHRISTIAN DEMOCRATIC PARTY,WARD,150,56.3
65,Eastern Cape,EC109 - Kou-Kamma [Kareedouw],AFRICAN NATIONAL CONGRESS,PR,4628,56.3
66,Eastern Cape,EC109 - Kou-Kamma [Kareedouw],AFRICAN NATIONAL CONGRESS,WARD,4649,56.3
67,Eastern Cape,EC109 - Kou-Kamma [Kareedouw],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,2353,56.3
68,Eastern Cape,EC109 - Kou-Kamma [Kareedouw],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,2400,56.3
69,Eastern Cape,EC121 - Mbhashe [Idutywa],AFRICAN NATIONAL CONGRESS,PR,27753,64.39
70,Eastern Cape,EC121 - Mbhashe [Idutywa],AFRICAN NATIONAL CONGRESS,WARD,27682,64.39
71,Eastern Cape,EC121 - Mbhashe [Idutywa],INDEPENDENT,WARD,690,64.39
72,Eastern Cape,EC121 - Mbhashe [Idutywa],UNITED DEMOCRATIC MOVEMENT,PR,18580,64.39
73,Eastern Cape,EC121 - Mbhashe [Idutywa],UNITED DEMOCRATIC MOVEMENT,WARD,18413,64.39
74,Eastern Cape,EC122 - Mnquma [Butterworth],AFRICAN NATIONAL CONGRESS,PR,37024,60.33
75,Eastern Cape,EC122 - Mnquma [Butterworth],AFRICAN NATIONAL CONGRESS,WARD,36167,60.33
76,Eastern Cape,EC122 - Mnquma [Butterworth],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,1924,60.33
77,Eastern Cape,EC122 - Mnquma [Butterworth],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,511,60.33
78,Eastern Cape,EC122 - Mnquma [Butterworth],INDEPENDENT,WARD,2402,60.33
79,Eastern Cape,EC122 - Mnquma [Butterworth],PAN AFRICANIST CONGRESS OF AZANIA,PR,2541,60.33
80,Eastern Cape,EC122 - Mnquma [Butterworth],PAN AFRICANIST CONGRESS OF AZANIA,WARD,2013,60.33
81,Eastern Cape,EC122 - Mnquma [Butterworth],UNITED DEMOCRATIC MOVEMENT,PR,14699,60.33
82,Eastern Cape,EC122 - Mnquma [Butterworth],UNITED DEMOCRATIC MOVEMENT,WARD,15371,60.33
83,Eastern Cape,EC123 - Great Kei [Komga],AFRICAN CHRISTIAN DEMOCRATIC PARTY,PR,244,67.05
84,Eastern Cape,EC123 - Great Kei [Komga],AFRICAN CHRISTIAN DEMOCRATIC PARTY,WARD,391,67.05
85,Eastern Cape,EC123 - Great Kei [Komga],AFRICAN NATIONAL CONGRESS,PR,10560,67.05
86,Eastern Cape,EC123 - Great Kei [Komga],AFRICAN NATIONAL CONGRESS,WARD,10344,67.05
87,Eastern Cape,EC123 - Great Kei [Komga],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,748,67.05
88,Eastern Cape,EC123 - Great Kei [Komga],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,504,67.05
89,Eastern Cape,EC123 - Great Kei [Komga],INDEPENDENT,WARD,571,67.05
90,Eastern Cape,EC124 - Amahlati [Stutterheim],AFRICAN NATIONAL CONGRESS,PR,31989,62.76
91,Eastern Cape,EC124 - Amahlati [Stutterheim],AFRICAN NATIONAL CONGRESS,WARD,32372,62.76
92,Eastern Cape,EC124 - Amahlati [Stutterheim],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,2462,62.76
93,Eastern Cape,EC124 - Amahlati [Stutterheim],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,2740,62.76
94,Eastern Cape,EC124 - Amahlati [Stutterheim],UNITED DEMOCRATIC MOVEMENT,PR,1529,62.76
95,Eastern Cape,EC124 - Amahlati [Stutterheim],UNITED DEMOCRATIC MOVEMENT,WARD,968,62.76
96,Eastern Cape,EC125 - Buffalo City [East London],AFRICAN CHRISTIAN DEMOCRATIC PARTY,PR,2205,62.18
97,Eastern Cape,EC125 - Buffalo City [East London],AFRICAN CHRISTIAN DEMOCRATIC PARTY,WARD,3379,62.18
98,Eastern Cape,EC125 - Buffalo City [East London],AFRICAN NATIONAL CONGRESS,PR,157746,62.18
99,Eastern Cape,EC125 - Buffalo City [East London],AFRICAN NATIONAL CONGRESS,WARD,154360,62.18
100,Eastern Cape,EC125 - Buffalo City [East London],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,25723,62.18
101,Eastern Cape,EC125 - Buffalo City [East London],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,24440,62.18
102,Eastern Cape,EC125 - Buffalo City [East London],INDEPENDENT,WARD,7330,62.18
103,Eastern Cape,EC125 - Buffalo City [East London],INKATHA FREEDOM PARTY,PR,561,62.18
104,Eastern Cape,EC125 - Buffalo City [East London],INKATHA FREEDOM PARTY,WARD,258,62.18
105,Eastern Cape,EC125 - Buffalo City [East London],PAN AFRICANIST CONGRESS OF AZANIA,PR,4942,62.18
106,Eastern Cape,EC125 - Buffalo City [East London],PAN AFRICANIST CONGRESS OF AZANIA,WARD,4089,62.18
107,Eastern Cape,EC125 - Buffalo City [East London],UNITED DEMOCRATIC MOVEMENT,PR,2931,62.18
108,Eastern Cape,EC125 - Buffalo City [East London],UNITED DEMOCRATIC MOVEMENT,WARD,426,62.18
109,Eastern Cape,EC126 - Ngqushwa [Peddie],AFRICAN NATIONAL CONGRESS,PR,21826,61.75
110,Eastern Cape,EC126 - Ngqushwa [Peddie],AFRICAN NATIONAL CONGRESS,WARD,1694,61.75
111,Eastern Cape,EC126 - Ngqushwa [Peddie],UNITED DEMOCRATIC MOVEMENT,PR,939,61.75
112,Eastern Cape,EC126 - Ngqushwa [Peddie],UNITED DEMOCRATIC MOVEMENT,WARD,174,61.75
113,Eastern Cape,EC127 - Nkonkobe [Alice],AFRICAN NATIONAL CONGRESS,PR,36329,63.53
114,Eastern Cape,EC127 - Nkonkobe [Alice],AFRICAN NATIONAL CONGRESS,WARD,31596,63.53
115,Eastern Cape,EC127 - Nkonkobe [Alice],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,1736,63.53
116,Eastern Cape,EC127 - Nkonkobe [Alice],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,1484,63.53
117,Eastern Cape,EC127 - Nkonkobe [Alice],INDEPENDENT,WARD,1568,63.53
118,Eastern Cape,EC127 - Nkonkobe [Alice],UNITED DEMOCRATIC MOVEMENT,PR,812,63.53
119,Eastern Cape,EC127 - Nkonkobe [Alice],UNITED DEMOCRATIC MOVEMENT,WARD,719,63.53
120,Eastern Cape,EC128 - Nxuba [Adelaide],AFRICAN NATIONAL CONGRESS,PR,6093,63.15
121,Eastern Cape,EC128 - Nxuba [Adelaide],AFRICAN NATIONAL CONGRESS,WARD,6060,63.15
122,Eastern Cape,EC128 - Nxuba [Adelaide],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,1312,63.15
123,Eastern Cape,EC128 - Nxuba [Adelaide],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,1345,63.15
124,Eastern Cape,EC128 - Nxuba [Adelaide],INDEPENDENT,WARD,19,63.15
125,Eastern Cape,EC131 - Inxuba Yethemba [Cradock],AFRICAN CHRISTIAN DEMOCRATIC PARTY,PR,283,55.94
126,Eastern Cape,EC131 - Inxuba Yethemba [Cradock],AFRICAN CHRISTIAN DEMOCRATIC PARTY,WARD,147,55.94
127,Eastern Cape,EC131 - Inxuba Yethemba [Cradock],AFRICAN NATIONAL CONGRESS,PR,10413,55.94
128,Eastern Cape,EC131 - Inxuba Yethemba [Cradock],AFRICAN NATIONAL CONGRESS,WARD,10383,55.94
129,Eastern Cape,EC131 - Inxuba Yethemba [Cradock],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,4677,55.94
130,Eastern Cape,EC131 - Inxuba Yethemba [Cradock],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,4710,55.94
131,Eastern Cape,EC131 - Inxuba Yethemba [Cradock],INDEPENDENT,WARD,182,55.94
132,Eastern Cape,EC132 - Tsolwana [Tarkastad],AFRICAN NATIONAL CONGRESS,PR,7226,64.13
133,Eastern Cape,EC132 - Tsolwana [Tarkastad],AFRICAN NATIONAL CONGRESS,WARD,6897,64.13
134,Eastern Cape,EC132 - Tsolwana [Tarkastad],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,790,64.13
135,Eastern Cape,EC132 - Tsolwana [Tarkastad],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,849,64.13
136,Eastern Cape,EC132 - Tsolwana [Tarkastad],INDEPENDENT,WARD,427,64.13
137,Eastern Cape,EC132 - Tsolwana [Tarkastad],PAN AFRICANIST CONGRESS OF AZANIA,PR,703,64.13
138,Eastern Cape,EC132 - Tsolwana [Tarkastad],PAN AFRICANIST CONGRESS OF AZANIA,WARD,687,64.13
139,Eastern Cape,EC132 - Tsolwana [Tarkastad],UNITED DEMOCRATIC MOVEMENT,PR,386,64.13
140,Eastern Cape,EC132 - Tsolwana [Tarkastad],UNITED DEMOCRATIC MOVEMENT,WARD,276,64.13
141,Eastern Cape,EC133 - Inkwanca [Molteno],AFRICAN NATIONAL CONGRESS,PR,4903,65.13
142,Eastern Cape,EC133 - Inkwanca [Molteno],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,761,65.13
143,Eastern Cape,EC134 - Lukanji [Queenstown],AFRICAN NATIONAL CONGRESS,PR,34825,57.33
144,Eastern Cape,EC134 - Lukanji [Queenstown],AFRICAN NATIONAL CONGRESS,WARD,32394,57.33
145,Eastern Cape,EC134 - Lukanji [Queenstown],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,2563,57.33
146,Eastern Cape,EC134 - Lukanji [Queenstown],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,2315,57.33
147,Eastern Cape,EC134 - Lukanji [Queenstown],INDEPENDENT,WARD,1730,57.33
148,Eastern Cape,EC134 - Lukanji [Queenstown],PAN AFRICANIST CONGRESS OF AZANIA,PR,1031,57.33
149,Eastern Cape,EC134 - Lukanji [Queenstown],PAN AFRICANIST CONGRESS OF AZANIA,WARD,624,57.33
150,Eastern Cape,EC134 - Lukanji [Queenstown],UNITED DEMOCRATIC MOVEMENT,PR,1883,57.33
151,Eastern Cape,EC134 - Lukanji [Queenstown],UNITED DEMOCRATIC MOVEMENT,WARD,1577,57.33
152,Eastern Cape,EC135 - Intsika Yethu [Cofimvaba],AFRICAN NATIONAL CONGRESS,PR,31771,63.21
153,Eastern Cape,EC135 - Intsika Yethu [Cofimvaba],AFRICAN NATIONAL CONGRESS,WARD,30835,63.21
154,Eastern Cape,EC135 - Intsika Yethu [Cofimvaba],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,660,63.21
155,Eastern Cape,EC135 - Intsika Yethu [Cofimvaba],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,226,63.21
156,Eastern Cape,EC135 - Intsika Yethu [Cofimvaba],INDEPENDENT,WARD,1459,63.21
157,Eastern Cape,EC135 - Intsika Yethu [Cofimvaba],PAN AFRICANIST CONGRESS OF AZANIA,PR,1624,63.21
158,Eastern Cape,EC135 - Intsika Yethu [Cofimvaba],PAN AFRICANIST CONGRESS OF AZANIA,WARD,1069,63.21
159,Eastern Cape,EC135 - Intsika Yethu [Cofimvaba],UNITED DEMOCRATIC MOVEMENT,PR,6091,63.21
160,Eastern Cape,EC135 - Intsika Yethu [Cofimvaba],UNITED DEMOCRATIC MOVEMENT,WARD,6336,63.21
161,Eastern Cape,EC136 - Emalahleni [Lady Frere],AFRICAN NATIONAL CONGRESS,PR,22740,59.15
162,Eastern Cape,EC136 - Emalahleni [Lady Frere],AFRICAN NATIONAL CONGRESS,WARD,16803,59.15
163,Eastern Cape,EC136 - Emalahleni [Lady Frere],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,576,59.15
164,Eastern Cape,EC136 - Emalahleni [Lady Frere],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,210,59.15
165,Eastern Cape,EC136 - Emalahleni [Lady Frere],INDEPENDENT,WARD,300,59.15
166,Eastern Cape,EC136 - Emalahleni [Lady Frere],PAN AFRICANIST CONGRESS OF AZANIA,PR,1454,59.15
167,Eastern Cape,EC136 - Emalahleni [Lady Frere],PAN AFRICANIST CONGRESS OF AZANIA,WARD,1554,59.15
168,Eastern Cape,EC136 - Emalahleni [Lady Frere],UNITED DEMOCRATIC MOVEMENT,PR,1670,59.15
169,Eastern Cape,EC136 - Emalahleni [Lady Frere],UNITED DEMOCRATIC MOVEMENT,WARD,1371,59.15
170,Eastern Cape,EC137 - Engcobo [Engcobo],AFRICAN NATIONAL CONGRESS,PR,15063,52.04
171,Eastern Cape,EC137 - Engcobo [Engcobo],AFRICAN NATIONAL CONGRESS,WARD,14977,52.04
172,Eastern Cape,EC137 - Engcobo [Engcobo],INDEPENDENT,WARD,381,52.04
173,Eastern Cape,EC137 - Engcobo [Engcobo],PAN AFRICANIST CONGRESS OF AZANIA,PR,1927,52.04
174,Eastern Cape,EC137 - Engcobo [Engcobo],PAN AFRICANIST CONGRESS OF AZANIA,WARD,1927,52.04
175,Eastern Cape,EC137 - Engcobo [Engcobo],UNITED DEMOCRATIC MOVEMENT,PR,6187,52.04
176,Eastern Cape,EC137 - Engcobo [Engcobo],UNITED DEMOCRATIC MOVEMENT,WARD,5996,52.04
177,Eastern Cape,EC138 - Sakhisizwe [Elliot],AFRICAN NATIONAL CONGRESS,PR,8236,62.62
178,Eastern Cape,EC138 - Sakhisizwe [Elliot],AFRICAN NATIONAL CONGRESS,WARD,8166,62.62
179,Eastern Cape,EC138 - Sakhisizwe [Elliot],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,385,62.62
180,Eastern Cape,EC138 - Sakhisizwe [Elliot],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,355,62.62
181,Eastern Cape,EC138 - Sakhisizwe [Elliot],INDEPENDENT,WARD,116,62.62
182,Eastern Cape,EC138 - Sakhisizwe [Elliot],PAN AFRICANIST CONGRESS OF AZANIA,PR,1423,62.62
183,Eastern Cape,EC138 - Sakhisizwe [Elliot],PAN AFRICANIST CONGRESS OF AZANIA,WARD,1517,62.62
184,Eastern Cape,EC138 - Sakhisizwe [Elliot],UNITED DEMOCRATIC MOVEMENT,PR,928,62.62
185,Eastern Cape,EC138 - Sakhisizwe [Elliot],UNITED DEMOCRATIC MOVEMENT,WARD,789,62.62
186,Eastern Cape,EC141 - Elundini [Mount Fletcher],AFRICAN NATIONAL CONGRESS,PR,21183,57.93
187,Eastern Cape,EC141 - Elundini [Mount Fletcher],AFRICAN NATIONAL CONGRESS,WARD,10399,57.93
188,Eastern Cape,EC141 - Elundini [Mount Fletcher],INDEPENDENT,WARD,2153,57.93
189,Eastern Cape,EC141 - Elundini [Mount Fletcher],PAN AFRICANIST CONGRESS OF AZANIA,WARD,53,57.93
190,Eastern Cape,EC141 - Elundini [Mount Fletcher],UNITED DEMOCRATIC MOVEMENT,PR,3715,57.93
191,Eastern Cape,EC141 - Elundini [Mount Fletcher],UNITED DEMOCRATIC MOVEMENT,WARD,1687,57.93
192,Eastern Cape,EC142 - Senqu [Barkly East],AFRICAN NATIONAL CONGRESS,PR,23550,59.11
193,Eastern Cape,EC142 - Senqu [Barkly East],AFRICAN NATIONAL CONGRESS,WARD,21132,59.11
194,Eastern Cape,EC142 - Senqu [Barkly East],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,2047,59.11
195,Eastern Cape,EC142 - Senqu [Barkly East],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,830,59.11
196,Eastern Cape,EC142 - Senqu [Barkly East],INDEPENDENT,WARD,651,59.11
197,Eastern Cape,EC142 - Senqu [Barkly East],PAN AFRICANIST CONGRESS OF AZANIA,PR,1263,59.11
198,Eastern Cape,EC142 - Senqu [Barkly East],PAN AFRICANIST CONGRESS OF AZANIA,WARD,1360,59.11
199,Eastern Cape,EC143 - Malethswai [Aliwal North],AFRICAN CHRISTIAN DEMOCRATIC PARTY,PR,214,54.88
200,Eastern Cape,EC143 - Malethswai [Aliwal North],AFRICAN CHRISTIAN DEMOCRATIC PARTY,WARD,201,54.88
201,Eastern Cape,EC143 - Malethswai [Aliwal North],AFRICAN NATIONAL CONGRESS,PR,7447,54.88
202,Eastern Cape,EC143 - Malethswai [Aliwal North],AFRICAN NATIONAL CONGRESS,WARD,7191,54.88
203,Eastern Cape,EC143 - Malethswai [Aliwal North],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,1312,54.88
204,Eastern Cape,EC143 - Malethswai [Aliwal North],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,1520,54.88
205,Eastern Cape,EC143 - Malethswai [Aliwal North],INDEPENDENT,WARD,67,54.88
206,Eastern Cape,EC144 - Gariep [Burgersdorp],AFRICAN NATIONAL CONGRESS,PR,5411,58.19
207,Eastern Cape,EC144 - Gariep [Burgersdorp],AFRICAN NATIONAL CONGRESS,WARD,5360,58.19
208,Eastern Cape,EC144 - Gariep [Burgersdorp],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,2032,58.19
209,Eastern Cape,EC144 - Gariep [Burgersdorp],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,2031,58.19
210,Eastern Cape,EC144 - Gariep [Burgersdorp],INDEPENDENT,WARD,27,58.19
211,Eastern Cape,EC144 - Gariep [Burgersdorp],PAN AFRICANIST CONGRESS OF AZANIA,PR,438,58.19
212,Eastern Cape,EC144 - Gariep [Burgersdorp],PAN AFRICANIST CONGRESS OF AZANIA,WARD,483,58.19
213,Eastern Cape,EC151 - Mbizana [Bizana],AFRICAN NATIONAL CONGRESS,PR,26736,46.87
214,Eastern Cape,EC151 - Mbizana [Bizana],AFRICAN NATIONAL CONGRESS,WARD,24515,46.87
215,Eastern Cape,EC151 - Mbizana [Bizana],INDEPENDENT,WARD,892,46.87
216,Eastern Cape,EC151 - Mbizana [Bizana],UNITED DEMOCRATIC MOVEMENT,PR,4409,46.87
217,Eastern Cape,EC151 - Mbizana [Bizana],UNITED DEMOCRATIC MOVEMENT,WARD,4673,46.87
218,Eastern Cape,EC152 - Ntabankulu [Ntabankulu],AFRICAN NATIONAL CONGRESS,PR,16687,55.52
219,Eastern Cape,EC152 - Ntabankulu [Ntabankulu],AFRICAN NATIONAL CONGRESS,WARD,15539,55.52
220,Eastern Cape,EC152 - Ntabankulu [Ntabankulu],INDEPENDENT,WARD,72,55.52
221,Eastern Cape,EC152 - Ntabankulu [Ntabankulu],UNITED DEMOCRATIC MOVEMENT,PR,3642,55.52
222,Eastern Cape,EC152 - Ntabankulu [Ntabankulu],UNITED DEMOCRATIC MOVEMENT,WARD,3273,55.52
223,Eastern Cape,EC153 - Ingquza [Flagstaff],AFRICAN CHRISTIAN DEMOCRATIC PARTY,PR,782,54.71
224,Eastern Cape,EC153 - Ingquza [Flagstaff],AFRICAN CHRISTIAN DEMOCRATIC PARTY,WARD,387,54.71
