,Province,Municipality,Party,Ballot Type,ValidVotesCast,MeanVoterTurnout
0,Eastern Cape,EC05b1 - Umzimkulu [Umzimkulu],AFRICAN NATIONAL CONGRESS,PR,21333,53.64
1,Eastern Cape,EC05b1 - Umzimkulu [Umzimkulu],AFRICAN NATIONAL CONGRESS,WARD,20980,53.64
2,Eastern Cape,EC05b1 - Umzimkulu [Umzimkulu],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,569,53.64
3,Eastern Cape,EC05b1 - Umzimkulu [Umzimkulu],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,19,53.64
4,Eastern Cape,EC05b1 - Umzimkulu [Umzimkulu],INDEPENDENT,WARD,1078,53.64
5,Eastern Cape,EC05b1 - Umzimkulu [Umzimkulu],INKATHA FREEDOM PARTY,PR,1921,53.64
6,Eastern Cape,EC05b1 - Umzimkulu [Umzimkulu],INKATHA FREEDOM PARTY,WARD,1532,53.64
7,Eastern Cape,EC05b1 - Umzimkulu [Umzimkulu],UNITED DEMOCRATIC MOVEMENT,PR,2505,53.64
8,Eastern Cape,EC05b1 - Umzimkulu [Umzimkulu],UNITED DEMOCRATIC MOVEMENT,WARD,2678,53.64
9,Eastern Cape,EC05b2 - Umzimvubu [Mount Ayliff],AFRICAN NATIONAL CONGRESS,PR,51589,54.34
10,Eastern Cape,EC05b2 - Umzimvubu [Mount Ayliff],AFRICAN NATIONAL CONGRESS,WARD,45761,54.34
11,Eastern Cape,EC05b2 - Umzimvubu [Mount Ayliff],INDEPENDENT,WARD,1309,54.34
12,Eastern Cape,EC05b2 - Umzimvubu [Mount Ayliff],INKATHA FREEDOM PARTY,PR,2987,54.34
13,Eastern Cape,EC05b2 - Umzimvubu [Mount Ayliff],INKATHA FREEDOM PARTY,WARD,2548,54.34
14,Eastern Cape,EC05b2 - Umzimvubu [Mount Ayliff],UNITED DEMOCRATIC MOVEMENT,PR,7114,54.34
15,Eastern Cape,EC05b2 - Umzimvubu [Mount Ayliff],UNITED DEMOCRATIC MOVEMENT,WARD,7206,54.34
16,Eastern Cape,EC101 - Camdeboo [Graaff-Reinet],AFRICAN NATIONAL CONGRESS,PR,5568,56.1
17,Eastern Cape,EC101 - Camdeboo [Graaff-Reinet],AFRICAN NATIONAL CONGRESS,WARD,5534,56.1
18,Eastern Cape,EC101 - Camdeboo [Graaff-Reinet],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,3527,56.1
19,Eastern Cape,EC101 - Camdeboo [Graaff-Reinet],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,3622,56.1
20,Eastern Cape,EC101 - Camdeboo [Graaff-Reinet],INDEPENDENT,WARD,112,56.1
21,Eastern Cape,EC101 - Camdeboo [Graaff-Reinet],UNITED DEMOCRATIC MOVEMENT,PR,800,56.1
22,Eastern Cape,EC101 - Camdeboo [Graaff-Reinet],UNITED DEMOCRATIC MOVEMENT,WARD,643,56.1
