,Province,Municipality,Party,Ballot Type,ValidVotesCast,MeanVoterTurnout
44,Eastern Cape,EC104 - Makana [Grahamstown],AZANIAN PEOPLE'S ORGANISATION,WARD,249,54.3
45,Eastern Cape,EC104 - Makana [Grahamstown],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,3103,54.3
46,Eastern Cape,EC104 - Makana [Grahamstown],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,3169,54.3
47,Eastern Cape,EC104 - Makana [Grahamstown],INDEPENDENT,WARD,59,54.3
48,Eastern Cape,EC104 - Makana [Grahamstown],INDEPENDENT DEMOCRATS,PR,133,54.3
49,Eastern Cape,EC104 - Makana [Grahamstown],INDEPENDENT DEMOCRATS,WARD,33,54.3
50,Eastern Cape,EC104 - Makana [Grahamstown],PAN AFRICANIST CONGRESS OF AZANIA,PR,230,54.3
51,Eastern Cape,EC104 - Makana [Grahamstown],PAN AFRICANIST CONGRESS OF AZANIA,WARD,212,54.3
52,Eastern Cape,EC104 - Makana [Grahamstown],UNITED DEMOCRATIC MOVEMENT,PR,246,54.3
53,Eastern Cape,EC104 - Makana [Grahamstown],UNITED DEMOCRATIC MOVEMENT,WARD,196,54.3
54,Eastern Cape,EC105 - Ndlambe [Port Alfred],AFRICAN CHRISTIAN DEMOCRATIC PARTY,PR,479,64.24
55,Eastern Cape,EC105 - Ndlambe [Port Alfred],AFRICAN CHRISTIAN DEMOCRATIC PARTY,WARD,477,64.24
56,Eastern Cape,EC105 - Ndlambe [Port Alfred],AFRICAN NATIONAL CONGRESS,PR,14391,64.24
57,Eastern Cape,EC105 - Ndlambe [Port Alfred],AFRICAN NATIONAL CONGRESS,WARD,14446,64.24
58,Eastern Cape,EC105 - Ndlambe [Port Alfred],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,3679,64.24
59,Eastern Cape,EC105 - Ndlambe [Port Alfred],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,3642,64.24
60,Eastern Cape,EC106 - Sundays River Valley [Kirkwood],AFRICAN NATIONAL CONGRESS,PR,12092,59.77
61,Eastern Cape,EC106 - Sundays River Valley [Kirkwood],AFRICAN NATIONAL CONGRESS,WARD,12153,59.77
62,Eastern Cape,EC106 - Sundays River Valley [Kirkwood],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,1374,59.77
63,Eastern Cape,EC106 - Sundays River Valley [Kirkwood],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,1444,59.77
64,Eastern Cape,EC106 - Sundays River Valley [Kirkwood],PAN AFRICANIST CONGRESS OF AZANIA,PR,309,59.77
65,Eastern Cape,EC106 - Sundays River Valley [Kirkwood],PAN AFRICANIST CONGRESS OF AZANIA,WARD,284,59.77
66,Eastern Cape,EC106 - Sundays River Valley [Kirkwood],UNITED DEMOCRATIC MOVEMENT,PR,125,59.77
67,Eastern Cape,EC106 - Sundays River Valley [Kirkwood],UNITED DEMOCRATIC MOVEMENT,WARD,66,59.77
68,Eastern Cape,EC107 - Baviaans [Willowmore],AFRICAN NATIONAL CONGRESS,PR,2136,59.58
69,Eastern Cape,EC107 - Baviaans [Willowmore],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,2170,59.58
70,Eastern Cape,EC107 - Baviaans [Willowmore],INDEPENDENT DEMOCRATS,PR,281,59.58
71,Eastern Cape,EC108 - Kouga [Humansdorp],AFRICAN CHRISTIAN DEMOCRATIC PARTY,PR,351,59.87
72,Eastern Cape,EC108 - Kouga [Humansdorp],AFRICAN CHRISTIAN DEMOCRATIC PARTY,WARD,315,59.87
73,Eastern Cape,EC108 - Kouga [Humansdorp],AFRICAN NATIONAL CONGRESS,PR,11718,59.87
74,Eastern Cape,EC108 - Kouga [Humansdorp],AFRICAN NATIONAL CONGRESS,WARD,11887,59.87
75,Eastern Cape,EC108 - Kouga [Humansdorp],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,7020,59.87
76,Eastern Cape,EC108 - Kouga [Humansdorp],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,6921,59.87
77,Eastern Cape,EC108 - Kouga [Humansdorp],INDEPENDENT DEMOCRATS,PR,479,59.87
78,Eastern Cape,EC108 - Kouga [Humansdorp],INDEPENDENT DEMOCRATS,WARD,480,59.87
79,Eastern Cape,EC108 - Kouga [Humansdorp],KOUGA 2000,PR,1367,59.87
80,Eastern Cape,EC108 - Kouga [Humansdorp],KOUGA 2000,WARD,1476,59.87
81,Eastern Cape,EC108 - Kouga [Humansdorp],KOUGA CIVIC ALLIANCE,PR,1212,59.87
82,Eastern Cape,EC108 - Kouga [Humansdorp],KOUGA CIVIC ALLIANCE,WARD,1215,59.87
83,Eastern Cape,EC108 - Kouga [Humansdorp],VRYHEIDSFRONT PLUS,PR,293,59.87
84,Eastern Cape,EC108 - Kouga [Humansdorp],VRYHEIDSFRONT PLUS,WARD,240,59.87
85,Eastern Cape,EC109 - Kou-Kamma [Kareedouw],AFRICAN CHRISTIAN DEMOCRATIC PARTY,PR,161,49.32
86,Eastern Cape,EC109 - Kou-Kamma [Kareedouw],AFRICAN CHRISTIAN DEMOCRATIC PARTY,WARD,160,49.32
87,Eastern Cape,EC109 - Kou-Kamma [Kareedouw],AFRICAN NATIONAL CONGRESS,PR,5616,49.32
88,Eastern Cape,EC109 - Kou-Kamma [Kareedouw],AFRICAN NATIONAL CONGRESS,WARD,5577,49.32
89,Eastern Cape,EC109 - Kou-Kamma [Kareedouw],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,1655,49.32
90,Eastern Cape,EC109 - Kou-Kamma [Kareedouw],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,1639,49.32
91,Eastern Cape,EC109 - Kou-Kamma [Kareedouw],INDEPENDENT,WARD,247,49.32
92,Eastern Cape,EC109 - Kou-Kamma [Kareedouw],INDEPENDENT DEMOCRATS,PR,938,49.32
93,Eastern Cape,EC109 - Kou-Kamma [Kareedouw],INDEPENDENT DEMOCRATS,WARD,760,49.32
94,Eastern Cape,EC121 - Mbhashe [Idutywa],AFRICAN CHRISTIAN DEMOCRATIC PARTY,PR,289,65.74
95,Eastern Cape,EC121 - Mbhashe [Idutywa],AFRICAN CHRISTIAN DEMOCRATIC PARTY,WARD,379,65.74
96,Eastern Cape,EC121 - Mbhashe [Idutywa],AFRICAN NATIONAL CONGRESS,PR,52367,65.74
97,Eastern Cape,EC121 - Mbhashe [Idutywa],AFRICAN NATIONAL CONGRESS,WARD,52865,65.74
98,Eastern Cape,EC121 - Mbhashe [Idutywa],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,322,65.74
99,Eastern Cape,EC121 - Mbhashe [Idutywa],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,259,65.74
100,Eastern Cape,EC121 - Mbhashe [Idutywa],INDEPENDENT,WARD,277,65.74
101,Eastern Cape,EC121 - Mbhashe [Idutywa],PAN AFRICANIST CONGRESS OF AZANIA,PR,714,65.74
102,Eastern Cape,EC121 - Mbhashe [Idutywa],PAN AFRICANIST CONGRESS OF AZANIA,WARD,960,65.74
103,Eastern Cape,EC121 - Mbhashe [Idutywa],UNITED DEMOCRATIC MOVEMENT,PR,8996,65.74
104,Eastern Cape,EC121 - Mbhashe [Idutywa],UNITED DEMOCRATIC MOVEMENT,WARD,7931,65.74
105,Eastern Cape,EC122 - Mnquma [Butterworth],AFRICAN NATIONAL CONGRESS,PR,54233,62.54
106,Eastern Cape,EC122 - Mnquma [Butterworth],AFRICAN NATIONAL CONGRESS,WARD,53700,62.54
107,Eastern Cape,EC122 - Mnquma [Butterworth],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,2608,62.54
108,Eastern Cape,EC122 - Mnquma [Butterworth],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,2562,62.54
109,Eastern Cape,EC122 - Mnquma [Butterworth],INDEPENDENT,WARD,2034,62.54
110,Eastern Cape,EC122 - Mnquma [Butterworth],PAN AFRICANIST CONGRESS OF AZANIA,PR,1834,62.54
111,Eastern Cape,EC122 - Mnquma [Butterworth],PAN AFRICANIST CONGRESS OF AZANIA,WARD,1700,62.54
112,Eastern Cape,EC122 - Mnquma [Butterworth],UNITED DEMOCRATIC MOVEMENT,PR,9393,62.54
113,Eastern Cape,EC122 - Mnquma [Butterworth],UNITED DEMOCRATIC MOVEMENT,WARD,8148,62.54
114,Eastern Cape,EC123 - Great Kei [Komga],AFRICAN NATIONAL CONGRESS,PR,11283,65.24
115,Eastern Cape,EC123 - Great Kei [Komga],AFRICAN NATIONAL CONGRESS,WARD,11209,65.24
116,Eastern Cape,EC123 - Great Kei [Komga],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,711,65.24
117,Eastern Cape,EC123 - Great Kei [Komga],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,703,65.24
118,Eastern Cape,EC123 - Great Kei [Komga],INDEPENDENT,WARD,285,65.24
119,Eastern Cape,EC123 - Great Kei [Komga],INDEPENDENT DEMOCRATS,PR,589,65.24
120,Eastern Cape,EC123 - Great Kei [Komga],INDEPENDENT DEMOCRATS,WARD,566,65.24
121,Eastern Cape,EC123 - Great Kei [Komga],PAN AFRICANIST CONGRESS OF AZANIA,PR,129,65.24
122,Eastern Cape,EC123 - Great Kei [Komga],PAN AFRICANIST CONGRESS OF AZANIA,WARD,104,65.24
123,Eastern Cape,EC123 - Great Kei [Komga],UNITED DEMOCRATIC MOVEMENT,PR,403,65.24
124,Eastern Cape,EC123 - Great Kei [Komga],UNITED DEMOCRATIC MOVEMENT,WARD,295,65.24
125,Eastern Cape,EC124 - Amahlathi [Stutterheim],AFRICAN NATIONAL CONGRESS,PR,34537,61.02
126,Eastern Cape,EC124 - Amahlathi [Stutterheim],AFRICAN NATIONAL CONGRESS,WARD,34562,61.02
127,Eastern Cape,EC124 - Amahlathi [Stutterheim],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,1670,61.02
128,Eastern Cape,EC124 - Amahlathi [Stutterheim],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,1862,61.02
129,Eastern Cape,EC124 - Amahlathi [Stutterheim],INDEPENDENT,WARD,61,61.02
130,Eastern Cape,EC124 - Amahlathi [Stutterheim],INDEPENDENT DEMOCRATS,PR,240,61.02
131,Eastern Cape,EC124 - Amahlathi [Stutterheim],INDEPENDENT DEMOCRATS,WARD,241,61.02
132,Eastern Cape,EC124 - Amahlathi [Stutterheim],PAN AFRICANIST CONGRESS OF AZANIA,PR,606,61.02
133,Eastern Cape,EC124 - Amahlathi [Stutterheim],PAN AFRICANIST CONGRESS OF AZANIA,WARD,561,61.02
134,Eastern Cape,EC124 - Amahlathi [Stutterheim],UNITED DEMOCRATIC MOVEMENT,PR,1262,61.02
135,Eastern Cape,EC124 - Amahlathi [Stutterheim],UNITED DEMOCRATIC MOVEMENT,WARD,874,61.02
136,Eastern Cape,EC125 - Buffalo City [East London],AFRICAN CHRISTIAN DEMOCRATIC PARTY,PR,2019,55.89
137,Eastern Cape,EC125 - Buffalo City [East London],AFRICAN CHRISTIAN DEMOCRATIC PARTY,WARD,2309,55.89
138,Eastern Cape,EC125 - Buffalo City [East London],AFRICAN NATIONAL CONGRESS,PR,150121,55.89
139,Eastern Cape,EC125 - Buffalo City [East London],AFRICAN NATIONAL CONGRESS,WARD,149889,55.89
140,Eastern Cape,EC125 - Buffalo City [East London],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,22024,55.89
141,Eastern Cape,EC125 - Buffalo City [East London],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,23124,55.89
142,Eastern Cape,EC125 - Buffalo City [East London],INDEPENDENT,WARD,1664,55.89
143,Eastern Cape,EC125 - Buffalo City [East London],INDEPENDENT DEMOCRATS,PR,1216,55.89
144,Eastern Cape,EC125 - Buffalo City [East London],INDEPENDENT DEMOCRATS,WARD,582,55.89
145,Eastern Cape,EC125 - Buffalo City [East London],INKATHA FREEDOM PARTY,PR,234,55.89
146,Eastern Cape,EC125 - Buffalo City [East London],INKATHA FREEDOM PARTY,WARD,29,55.89
147,Eastern Cape,EC125 - Buffalo City [East London],NATIONAL DEMOCRATIC CONVENTION,PR,359,55.89
148,Eastern Cape,EC125 - Buffalo City [East London],NATIONAL DEMOCRATIC CONVENTION,WARD,61,55.89
149,Eastern Cape,EC125 - Buffalo City [East London],PAN AFRICANIST CONGRESS OF AZANIA,PR,5496,55.89
150,Eastern Cape,EC125 - Buffalo City [East London],PAN AFRICANIST CONGRESS OF AZANIA,WARD,6190,55.89
151,Eastern Cape,EC125 - Buffalo City [East London],UNITED DEMOCRATIC MOVEMENT,PR,2553,55.89
152,Eastern Cape,EC125 - Buffalo City [East London],UNITED DEMOCRATIC MOVEMENT,WARD,287,55.89
153,Eastern Cape,EC125 - Buffalo City [East London],UNITED INDEPENDENT FRONT,PR,551,55.89
154,Eastern Cape,EC125 - Buffalo City [East London],UNITED INDEPENDENT FRONT,WARD,415,55.89
155,Eastern Cape,EC126 - Ngqushwa [Peddie],AFRICAN NATIONAL CONGRESS,PR,23393,56.24
156,Eastern Cape,EC126 - Ngqushwa [Peddie],AFRICAN NATIONAL CONGRESS,WARD,11726,56.24
157,Eastern Cape,EC126 - Ngqushwa [Peddie],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,847,56.24
158,Eastern Cape,EC126 - Ngqushwa [Peddie],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,282,56.24
159,Eastern Cape,EC126 - Ngqushwa [Peddie],INDEPENDENT,WARD,2050,56.24
160,Eastern Cape,EC127 - Nkonkobe [Alice],AFRICAN NATIONAL CONGRESS,PR,33997,61.0
161,Eastern Cape,EC127 - Nkonkobe [Alice],AFRICAN NATIONAL CONGRESS,WARD,33038,61.0
162,Eastern Cape,EC127 - Nkonkobe [Alice],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,1245,61.0
163,Eastern Cape,EC127 - Nkonkobe [Alice],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,1128,61.0
164,Eastern Cape,EC127 - Nkonkobe [Alice],INDEPENDENT,WARD,2646,61.0
165,Eastern Cape,EC127 - Nkonkobe [Alice],PAN AFRICANIST CONGRESS OF AZANIA,PR,800,61.0
166,Eastern Cape,EC127 - Nkonkobe [Alice],PAN AFRICANIST CONGRESS OF AZANIA,WARD,1065,61.0
167,Eastern Cape,EC127 - Nkonkobe [Alice],UNITED DEMOCRATIC MOVEMENT,PR,527,61.0
168,Eastern Cape,EC127 - Nkonkobe [Alice],UNITED DEMOCRATIC MOVEMENT,WARD,82,61.0
169,Eastern Cape,EC128 - Nxuba [Adelaide],ADELAIDE RESIDENTS ASSOCIATION,PR,2138,59.59
170,Eastern Cape,EC128 - Nxuba [Adelaide],ADELAIDE RESIDENTS ASSOCIATION,WARD,2118,59.59
171,Eastern Cape,EC128 - Nxuba [Adelaide],AFRICAN NATIONAL CONGRESS,PR,3477,59.59
172,Eastern Cape,EC128 - Nxuba [Adelaide],AFRICAN NATIONAL CONGRESS,WARD,3278,59.59
173,Eastern Cape,EC128 - Nxuba [Adelaide],BEDFORD RESIDENTS' ASSOCIATION,PR,733,59.59
174,Eastern Cape,EC128 - Nxuba [Adelaide],BEDFORD RESIDENTS' ASSOCIATION,WARD,700,59.59
175,Eastern Cape,EC128 - Nxuba [Adelaide],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,716,59.59
176,Eastern Cape,EC128 - Nxuba [Adelaide],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,715,59.59
177,Eastern Cape,EC128 - Nxuba [Adelaide],INDEPENDENT,WARD,446,59.59
178,Eastern Cape,EC131 - Inxuba Yethemba [Cradock],AFRICAN CHRISTIAN DEMOCRATIC PARTY,PR,292,52.4
179,Eastern Cape,EC131 - Inxuba Yethemba [Cradock],AFRICAN CHRISTIAN DEMOCRATIC PARTY,WARD,375,52.4
180,Eastern Cape,EC131 - Inxuba Yethemba [Cradock],AFRICAN NATIONAL CONGRESS,PR,10840,52.4
181,Eastern Cape,EC131 - Inxuba Yethemba [Cradock],AFRICAN NATIONAL CONGRESS,WARD,10914,52.4
182,Eastern Cape,EC131 - Inxuba Yethemba [Cradock],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,4199,52.4
183,Eastern Cape,EC131 - Inxuba Yethemba [Cradock],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,4181,52.4
184,Eastern Cape,EC131 - Inxuba Yethemba [Cradock],UNITED DEMOCRATIC MOVEMENT,PR,170,52.4
185,Eastern Cape,EC131 - Inxuba Yethemba [Cradock],UNITED DEMOCRATIC MOVEMENT,WARD,55,52.4
186,Eastern Cape,EC132 - Tsolwana [Tarkastad],AFRICAN NATIONAL CONGRESS,PR,8243,54.03
187,Eastern Cape,EC132 - Tsolwana [Tarkastad],AFRICAN NATIONAL CONGRESS,WARD,8175,54.03
188,Eastern Cape,EC132 - Tsolwana [Tarkastad],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,531,54.03
189,Eastern Cape,EC132 - Tsolwana [Tarkastad],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,598,54.03
190,Eastern Cape,EC132 - Tsolwana [Tarkastad],PAN AFRICANIST CONGRESS OF AZANIA,PR,525,54.03
191,Eastern Cape,EC132 - Tsolwana [Tarkastad],PAN AFRICANIST CONGRESS OF AZANIA,WARD,545,54.03
192,Eastern Cape,EC133 - Inkwanca [Molteno],AFRICAN NATIONAL CONGRESS,PR,5162,59.88
193,Eastern Cape,EC133 - Inkwanca [Molteno],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,528,59.88
194,Eastern Cape,EC133 - Inkwanca [Molteno],PAN AFRICANIST CONGRESS OF AZANIA,PR,229,59.88
195,Eastern Cape,EC134 - Lukhanji [Queenstown],AFRICAN CHRISTIAN DEMOCRATIC PARTY,WARD,137,51.7
196,Eastern Cape,EC134 - Lukhanji [Queenstown],AFRICAN NATIONAL CONGRESS,PR,37868,51.7
197,Eastern Cape,EC134 - Lukhanji [Queenstown],AFRICAN NATIONAL CONGRESS,WARD,37687,51.7
198,Eastern Cape,EC134 - Lukhanji [Queenstown],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,1956,51.7
199,Eastern Cape,EC134 - Lukhanji [Queenstown],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,2075,51.7
200,Eastern Cape,EC134 - Lukhanji [Queenstown],INDEPENDENT DEMOCRATS,PR,193,51.7
201,Eastern Cape,EC134 - Lukhanji [Queenstown],INDEPENDENT DEMOCRATS,WARD,187,51.7
202,Eastern Cape,EC134 - Lukhanji [Queenstown],PAN AFRICANIST CONGRESS OF AZANIA,PR,840,51.7
203,Eastern Cape,EC134 - Lukhanji [Queenstown],PAN AFRICANIST CONGRESS OF AZANIA,WARD,1006,51.7
204,Eastern Cape,EC134 - Lukhanji [Queenstown],UNITED DEMOCRATIC MOVEMENT,PR,1455,51.7
205,Eastern Cape,EC134 - Lukhanji [Queenstown],UNITED DEMOCRATIC MOVEMENT,WARD,1223,51.7
206,Eastern Cape,EC134 - Lukhanji [Queenstown],UNITED INDEPENDENT FRONT,WARD,46,51.7
207,Eastern Cape,EC135 - Intsika Yethu [Cofimvaba],AFRICAN NATIONAL CONGRESS,PR,41955,63.3
208,Eastern Cape,EC135 - Intsika Yethu [Cofimvaba],AFRICAN NATIONAL CONGRESS,WARD,41329,63.3
209,Eastern Cape,EC135 - Intsika Yethu [Cofimvaba],INDEPENDENT,WARD,590,63.3
210,Eastern Cape,EC135 - Intsika Yethu [Cofimvaba],PAN AFRICANIST CONGRESS OF AZANIA,PR,1720,63.3
211,Eastern Cape,EC135 - Intsika Yethu [Cofimvaba],PAN AFRICANIST CONGRESS OF AZANIA,WARD,1699,63.3
212,Eastern Cape,EC135 - Intsika Yethu [Cofimvaba],UNITED DEMOCRATIC MOVEMENT,PR,3287,63.3
213,Eastern Cape,EC135 - Intsika Yethu [Cofimvaba],UNITED DEMOCRATIC MOVEMENT,WARD,3110,63.3
214,Eastern Cape,EC136 - Emalahleni [Lady Frere],AFRICAN NATIONAL CONGRESS,PR,29789,60.68
215,Eastern Cape,EC136 - Emalahleni [Lady Frere],AFRICAN NATIONAL CONGRESS,WARD,29618,60.68
216,Eastern Cape,EC136 - Emalahleni [Lady Frere],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,412,60.68
217,Eastern Cape,EC136 - Emalahleni [Lady Frere],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,486,60.68
218,Eastern Cape,EC136 - Emalahleni [Lady Frere],INDEPENDENT,WARD,1123,60.68
219,Eastern Cape,EC136 - Emalahleni [Lady Frere],PAN AFRICANIST CONGRESS OF AZANIA,PR,853,60.68
220,Eastern Cape,EC136 - Emalahleni [Lady Frere],PAN AFRICANIST CONGRESS OF AZANIA,WARD,752,60.68
221,Eastern Cape,EC136 - Emalahleni [Lady Frere],UNITED DEMOCRATIC MOVEMENT,PR,1545,60.68
222,Eastern Cape,EC136 - Emalahleni [Lady Frere],UNITED DEMOCRATIC MOVEMENT,WARD,1298,60.68
223,Eastern Cape,EC137 - Engcobo [Engcobo],AFRICAN NATIONAL CONGRESS,PR,28081,59.11
224,Eastern Cape,EC137 - Engcobo [Engcobo],AFRICAN NATIONAL CONGRESS,WARD,27542,59.11
225,Eastern Cape,EC137 - Engcobo [Engcobo],INDEPENDENT,WARD,981,59.11
226,Eastern Cape,EC137 - Engcobo [Engcobo],PAN AFRICANIST CONGRESS OF AZANIA,PR,1747,59.11
