,Province,Municipality,Party,Ballot Type,ValidVotesCast,MeanVoterTurnout
0,Eastern Cape,EC05b2 - Umzimvubu [Mount Ayliff],AFRICAN NATIONAL CONGRESS,PR,42012,57.89
1,Eastern Cape,EC05b2 - Umzimvubu [Mount Ayliff],AFRICAN NATIONAL CONGRESS,WARD,41683,57.89
2,Eastern Cape,EC05b2 - Umzimvubu [Mount Ayliff],INDEPENDENT,WARD,513,57.89
3,Eastern Cape,EC05b2 - Umzimvubu [Mount Ayliff],INKATHA FREEDOM PARTY,PR,430,57.89
4,Eastern Cape,EC05b2 - Umzimvubu [Mount Ayliff],INKATHA FREEDOM PARTY,WARD,252,57.89
5,Eastern Cape,EC05b2 - Umzimvubu [Mount Ayliff],PAN AFRICANIST CONGRESS OF AZANIA,PR,536,57.89
6,Eastern Cape,EC05b2 - Umzimvubu [Mount Ayliff],PAN AFRICANIST CONGRESS OF AZANIA,WARD,724,57.89
7,Eastern Cape,EC05b2 - Umzimvubu [Mount Ayliff],UNITED DEMOCRATIC MOVEMENT,PR,2715,57.89
8,Eastern Cape,EC05b2 - Umzimvubu [Mount Ayliff],UNITED DEMOCRATIC MOVEMENT,WARD,2499,57.89
9,Eastern Cape,EC05b3 - Matatiele [Matatiele],AFRICAN INDEPENDENT CONGRESS,PR,10345,59.77
10,Eastern Cape,EC05b3 - Matatiele [Matatiele],AFRICAN INDEPENDENT CONGRESS,WARD,9511,59.77
11,Eastern Cape,EC05b3 - Matatiele [Matatiele],AFRICAN NATIONAL CONGRESS,PR,34902,59.77
12,Eastern Cape,EC05b3 - Matatiele [Matatiele],AFRICAN NATIONAL CONGRESS,WARD,35443,59.77
13,Eastern Cape,EC05b3 - Matatiele [Matatiele],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,847,59.77
14,Eastern Cape,EC05b3 - Matatiele [Matatiele],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,851,59.77
15,Eastern Cape,EC05b3 - Matatiele [Matatiele],INDEPENDENT,WARD,177,59.77
16,Eastern Cape,EC05b3 - Matatiele [Matatiele],UNITED DEMOCRATIC MOVEMENT,PR,1550,59.77
17,Eastern Cape,EC05b3 - Matatiele [Matatiele],UNITED DEMOCRATIC MOVEMENT,WARD,1293,59.77
18,Eastern Cape,EC05b3 - Matatiele [Matatiele],UNITED INDEPENDENT FRONT,PR,274,59.77
19,Eastern Cape,EC101 - Camdeboo [Graaff-Reinet],AFRICAN NATIONAL CONGRESS,PR,6840,48.54
20,Eastern Cape,EC101 - Camdeboo [Graaff-Reinet],AFRICAN NATIONAL CONGRESS,WARD,6859,48.54
21,Eastern Cape,EC101 - Camdeboo [Graaff-Reinet],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,2608,48.54
22,Eastern Cape,EC101 - Camdeboo [Graaff-Reinet],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,2461,48.54
23,Eastern Cape,EC101 - Camdeboo [Graaff-Reinet],INDEPENDENT,WARD,333,48.54
24,Eastern Cape,EC101 - Camdeboo [Graaff-Reinet],INDEPENDENT DEMOCRATS,PR,309,48.54
25,Eastern Cape,EC101 - Camdeboo [Graaff-Reinet],INDEPENDENT DEMOCRATS,WARD,121,48.54
26,Eastern Cape,EC101 - Camdeboo [Graaff-Reinet],VRYHEIDSFRONT PLUS,PR,431,48.54
27,Eastern Cape,EC101 - Camdeboo [Graaff-Reinet],VRYHEIDSFRONT PLUS,WARD,402,48.54
28,Eastern Cape,EC102 - Blue Crane Route [Somerset East],AFRICAN NATIONAL CONGRESS,PR,6795,49.09
29,Eastern Cape,EC102 - Blue Crane Route [Somerset East],AFRICAN NATIONAL CONGRESS,WARD,6784,49.09
30,Eastern Cape,EC102 - Blue Crane Route [Somerset East],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,2011,49.09
31,Eastern Cape,EC102 - Blue Crane Route [Somerset East],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,WARD,2059,49.09
32,Eastern Cape,EC102 - Blue Crane Route [Somerset East],PAN AFRICANIST CONGRESS OF AZANIA,PR,216,49.09
33,Eastern Cape,EC102 - Blue Crane Route [Somerset East],PAN AFRICANIST CONGRESS OF AZANIA,WARD,231,49.09
34,Eastern Cape,EC102 - Blue Crane Route [Somerset East],UNITED DEMOCRATIC MOVEMENT,PR,106,49.09
35,Eastern Cape,EC102 - Blue Crane Route [Somerset East],UNITED DEMOCRATIC MOVEMENT,WARD,49,49.09
36,Eastern Cape,EC103 - Ikwezi [Jansenville],AFRICAN NATIONAL CONGRESS,PR,2247,56.79
37,Eastern Cape,EC103 - Ikwezi [Jansenville],DEMOCRATIC ALLIANCE/DEMOKRATIESE ALLIANSIE,PR,405,56.79
38,Eastern Cape,EC103 - Ikwezi [Jansenville],JANSENVILLE KLIPPLAAT ALLIANSIE,PR,593,56.79
39,Eastern Cape,EC104 - Makana [Grahamstown],AFRICAN CHRISTIAN DEMOCRATIC PARTY,PR,292,54.3
40,Eastern Cape,EC104 - Makana [Grahamstown],AFRICAN CHRISTIAN DEMOCRATIC PARTY,WARD,330,54.3
41,Eastern Cape,EC104 - Makana [Grahamstown],AFRICAN NATIONAL CONGRESS,PR,17977,54.3
42,Eastern Cape,EC104 - Makana [Grahamstown],AFRICAN NATIONAL CONGRESS,WARD,17981,54.3
43,Eastern Cape,EC104 - Makana [Grahamstown],AZANIAN PEOPLE'S ORGANISATION,PR,238,54.3
